mat_cells,Young's Modulus,Poisson Ratio,Yield Strength,CTE,Thermal Conductivity,Density,Specific Heat Capacity,Enthalpy of Oxidation,HCS,CSC
88,173860677771.5889,0.3,834776968.4532057,1.3104130602340285e-05,21.619826591390886,8130.362990613703,512.2438432392534,363.40625835867587,0.7231137022015821,0.31423808794629493
89,172277246796.48517,0.3,818476580.8964086,1.2948001104217294e-05,21.72727775662082,8131.143861587814,512.332694140481,362.5691615810278,0.7655653277955724,0.3319064841814186
90,170758537679.4273,0.3,800266605.0422671,1.279374713659153e-05,21.829742933402464,8131.755329761266,512.4222626398235,361.7871255371382,0.810736219814874,0.35035796425164045
91,169307318531.19592,0.3,778038841.7713609,1.2641351292550336e-05,21.92712781661603,8132.217670622507,512.513010855759,361.0462582928913,0.8521281146897703,0.36961636930035585
92,167921248173.3118,0.3,739954461.8577938,1.2492839773066442e-05,22.01292193715039,8132.654297283055,512.6066499169563,360.30155721916356,0.8958827834369208,0.38965526858029925
93,166831869691.6497,0.3,716595623.2015723,1.2357689916612769e-05,22.05685484685874,8133.592402093439,512.7055315907483,359.54080674717136,0.9379966920316261,0.41043108930918093
94,165869310666.41983,0.3,716741985.1324757,1.2224788750052634e-05,22.09446077203597,8134.451126011251,512.813045465047,358.77305006966054,0.9879607663087243,0.4319260185540593
95,164983837152.59998,0.3,717252561.8686842,1.2093825595898764e-05,22.126758912539255,8135.228961667969,512.9335268868148,358.00195106276396,1.0321381254945028,0.4541561804364161
96,164171592067.85712,0.3,718072561.24322,1.196482993924832e-05,22.153697893240665,8135.93844483668,513.0724572039708,357.22882325579957,1.0770218108109362,0.4770139982690663
97,163423648417.27237,0.3,719154569.0766814,1.1837832332480149e-05,22.17524654458438,8136.59218093657,513.2363475834504,356.4550815706957,1.1228602380667854,0.5005174840159805
98,162728426443.0408,0.3,720455042.15567,1.1712866211876104e-05,22.19137593270946,8137.201635119125,513.4325633546009,355.681980191854,1.1695380029014413,0.5245997922329644
99,162074626228.11176,0.3,721936106.6853236,1.1589964466780928e-05,22.202080750667708,8137.776175958311,513.6693563694699,354.91048391010366,1.2168864041626584,0.5492065146594336
